ai_visibility_event_id,run_id,url,potential_score,visibility_json
1,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
2,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/auto-body,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/auto-body""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
3,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/dentists,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/dentists""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
6,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/foundation-repair,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/foundation-repair""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
7,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/hvac,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/hvac""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
8,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
11,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/builder-incentives,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/builder-incentives""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
12,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/case-study,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/case-study""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
13,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/data-maturity,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/data-maturity""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
16,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/map-pack-playbook,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/map-pack-playbook""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
17,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/recruiting,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/recruiting""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
18,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/site-speed,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/site-speed""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
21,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/smb-guide,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/smb-guide""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
22,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-cost-stack,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/texas-cost-stack""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
23,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-market-2026,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/texas-market-2026""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
26,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/texas-seo,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/texas-seo""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
27,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/insights/video-strategy,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/video-strategy""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
28,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/lawyers,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/lawyers""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
31,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/med-spas,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/med-spas""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
32,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/orthodontists,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/orthodontists""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
33,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/plumbers,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/plumbers""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
36,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/privacy,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/privacy""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
37,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/sitemap.xml,88,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/sitemap.xml""}, ""potential"": {""reasons"": [""weak_internal_prominence""], ""score"": 88}}"
38,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/sitemap.xml.gz,88,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/sitemap.xml.gz""}, ""potential"": {""reasons"": [""weak_internal_prominence""], ""score"": 88}}"
41,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/sitemap_index.xml,88,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/sitemap_index.xml""}, ""potential"": {""reasons"": [""weak_internal_prominence""], ""score"": 88}}"
42,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/smbs,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/smbs""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
43,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/terms,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/terms""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
46,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/vets,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/vets""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
39,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/,83,"{""adapter_errors"": [], ""adapters_applied"": [], ""observed_evidence"": {""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://www.void-agency.com/""}, ""potential"": {""reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""score"": 83}}"
