template_cluster_id,run_id,template_cluster,page_type,url_count,avg_score,issue_count
1,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/?,homepage,1,55.0,8
2,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/auto-body?,other,1,69.0,7
3,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/dentists?,other,1,69.0,7
4,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/foundation-repair?,other,1,69.0,7
5,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/hvac?,other,1,69.0,7
6,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights/builder-incentives?,article,1,71.0,6
7,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights/case-study?,article,1,71.0,6
8,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights/data-maturity?,article,1,71.0,6
9,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights/map-pack-playbook?,article,1,71.0,6
10,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights/recruiting?,article,1,71.0,6
11,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights/site-speed?,article,1,71.0,6
12,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights/smb-guide?,article,1,71.0,6
13,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights/texas-cost-stack?,article,1,71.0,6
14,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights/texas-market-2026?,article,1,71.0,6
15,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights/texas-seo?,article,1,71.0,6
16,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights/video-strategy?,article,1,71.0,6
17,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/insights?,article,1,71.0,6
18,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/lawyers?,other,1,69.0,7
19,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/med-spas?,other,1,69.0,7
20,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/orthodontists?,other,1,69.0,7
21,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/plumbers?,other,1,69.0,7
22,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/privacy?,legal,1,70.0,6
23,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/sitemap.xml.gz?,other,1,43.0,1
24,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/sitemap.xml?,other,1,66.0,0
25,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/sitemap_index.xml?,other,1,43.0,1
26,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/smbs?,other,1,69.0,7
27,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/terms?,legal,1,70.0,6
28,8946f235-727a-4b28-b3d1-cb0b887325a9,void-agency.com/vets?,other,1,69.0,7
29,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/?,homepage,1,55.0,7
30,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/auto-body?,other,1,69.0,7
31,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/dentists?,other,1,69.0,7
32,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/foundation-repair?,other,1,69.0,7
33,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/hvac?,other,1,69.0,7
34,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights/builder-incentives?,article,1,71.0,6
35,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights/case-study?,article,1,71.0,6
36,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights/data-maturity?,article,1,71.0,6
37,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights/map-pack-playbook?,article,1,71.0,6
38,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights/recruiting?,article,1,71.0,6
39,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights/site-speed?,article,1,71.0,6
40,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights/smb-guide?,article,1,71.0,6
41,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights/texas-cost-stack?,article,1,71.0,6
42,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights/texas-market-2026?,article,1,71.0,6
43,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights/texas-seo?,article,1,71.0,6
44,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights/video-strategy?,article,1,71.0,6
45,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights?,article,1,71.0,6
46,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/insights?topic,article,5,69.6,30
47,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/lawyers?,other,1,69.0,7
48,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/med-spas?,other,1,69.0,7
49,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/orthodontists?,other,1,69.0,7
50,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/plumbers?,other,1,69.0,7
51,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/privacy?,legal,1,70.0,6
52,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/smbs?,other,1,69.0,7
53,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/terms?,legal,1,70.0,6
54,8946f235-727a-4b28-b3d1-cb0b887325a9,www.void-agency.com/vets?,other,1,69.0,7
