event_id,run_id,event_time,event_type,stage,message,elapsed_ms,detail_json
1,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:36.578882+00:00,offsite_commoncrawl_status,offsite_commoncrawl,,0,"{""mode"": ""ranks"", ""schedule"": ""concurrent_best_effort"", ""status"": ""skipped_disabled""}"
2,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.068839+00:00,stage_timing,robots,,489,"{""robots_loaded"": 1, ""robots_respected"": 1, ""robots_rules"": 0, ""robots_state"": ""redirect_scope_mismatch""}"
3,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.282484+00:00,stage_timing,sitemaps,,213,"{""sitemap_entries"": 25, ""sitemap_sources"": 3, ""sitemap_warnings"": 0}"
4,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.282881+00:00,provider_summary,sitemap_status,,0,"{""property_uri"": """", ""rows"": [], ""status"": ""skipped_disabled""}"
5,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.282915+00:00,stage_timing,sitemap_status,,0,"{""property_uri"": """", ""rows"": [], ""status"": ""skipped_disabled""}"
6,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.287876+00:00,crawl_plan_summary,plan_crawl,,0,"{""extractor_version_changed"": 0, ""planner_discovered"": 28, ""planner_incremental_enabled"": 0, ""planner_known_sitemap_urls"": 25, ""planner_prioritized_changed_urls"": 0, ""planner_seed_urls"": 28, ""schema_rule_version_changed"": 0, ""scoring_version_changed"": 0}"
7,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:33:37.287914+00:00,stage_timing,plan_crawl,,4,"{""extractor_version_changed"": 0, ""planner_discovered"": 28, ""planner_incremental_enabled"": 0, ""planner_known_sitemap_urls"": 25, ""planner_prioritized_changed_urls"": 0, ""planner_seed_urls"": 28, ""schema_rule_version_changed"": 0, ""scoring_version_changed"": 0}"
8,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:35:44.258167+00:00,crawl_discovery_summary,crawl,,0,"{""asset_skipped"": 0, ""crawl_workers_used"": 1, ""dedupe_skipped"": 481, ""enqueue_attempts"": 1405, ""enqueued_band_high"": 28, ""enqueued_band_low"": 0, ""enqueued_band_normal"": 30, ""enqueued_total"": 58, ""enqueued_via_render_link"": 30, ""enqueued_via_seed"": 28, ""fetch_network_retries_total"": 0, ""fetch_retries_total"": 0, ""fetch_retry_after_used"": 0, ""fetch_retry_budget_exhausted"": 0, ""fetch_retry_wait_ms_total"": 0, ""fetch_retryable_status_total"": 0, ""fetched"": 58, ""not_modified"": 0, ""policy_skipped"": 0, ""queue_cap_skipped"": 5, ""render_frontier_checks"": 58, ""render_frontier_failures"": 0, ""render_frontier_successes"": 58, ""reparsed"": 0, ""rerendered"": 58, ""reused_from_cache"": 0, ""scope_skipped"": 0, ""seen_skipped"": 861}"
9,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:35:44.258227+00:00,crawl_heartbeat,crawl,pages=50 queue=7 errors=0,112391,"{""crawl_elapsed_ms"": 112391, ""dedupe_skipped"": 474, ""enqueued_total"": 57, ""error_count"": 0, ""fetch_retries_total"": 0, ""fetch_retry_wait_ms_total"": 0, ""fetched"": 50, ""last_depth"": 2, ""last_url"": ""https://www.void-agency.com/insights/texas-cost-stack"", ""not_modified"": 0, ""pages_stored"": 50, ""queue_size"": 7, ""request_delay_s"": 0.25, ""reused_from_cache"": 0, ""seen_count"": 50}"
10,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:35:44.258252+00:00,crawl_incremental_summary,crawl,,0,"{""discovered"": 58, ""fetched"": 58, ""not_modified"": 0, ""reparsed"": 0, ""rerendered"": 58, ""reused_from_cache"": 0}"
11,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:35:44.258268+00:00,stage_timing,crawl,,126970,"{""crawl_policy_counts"": {""crawl_normally"": 58}, ""discovery_stats"": {""asset_skipped"": 0, ""crawl_workers_used"": 1, ""dedupe_skipped"": 481, ""enqueue_attempts"": 1405, ""enqueued_band_high"": 28, ""enqueued_band_low"": 0, ""enqueued_band_normal"": 30, ""enqueued_total"": 58, ""enqueued_via_render_link"": 30, ""enqueued_via_seed"": 28, ""fetch_network_retries_total"": 0, ""fetch_retries_total"": 0, ""fetch_retry_after_used"": 0, ""fetch_retry_budget_exhausted"": 0, ""fetch_retry_wait_ms_total"": 0, ""fetch_retryable_status_total"": 0, ""fetched"": 58, ""not_modified"": 0, ""policy_skipped"": 0, ""queue_cap_skipped"": 5, ""render_frontier_checks"": 58, ""render_frontier_failures"": 0, ""render_frontier_successes"": 58, ""reparsed"": 0, ""rerendered"": 58, ""reused_from_cache"": 0, ""scope_skipped"": 0, ""seen_skipped"": 861}, ""fetches"": 58, ""heartbeat_events"": 1, ""incremental_stats"": {""discovered"": 58, ""fetched"": 58, ""not_modified"": 0, ""reparsed"": 0, ""rerendered"": 58, ""reused_from_cache"": 0}, ""links"": 1598, ""pages"": 58, ""start_urls"": 28}"
12,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:35:44.284406+00:00,governance_summary,classify,,0,"{""actionable_pages"": 55, ""bingbot_blocked_pages"": 0, ""bingbot_blocked_sample_urls"": [], ""chatgpt_user_blocked_pages"": 0, ""chatgpt_user_blocked_sample_urls"": [], ""google_extended_blocked_pages"": 0, ""google_extended_blocked_sample_urls"": [], ""googlebot_blocked_pages"": 0, ""googlebot_blocked_sample_urls"": [], ""gptbot_blocked_pages"": 0, ""gptbot_blocked_sample_urls"": [], ""matrix_summary"": {""blocked_counts"": {}, ""preview_restricted_pages"": 55, ""raw_render_mismatch_pages"": 55, ""total"": 58}, ""oai_adsbot_blocked_pages"": 0, ""oai_adsbot_blocked_sample_urls"": [], ""oai_searchbot_blocked_pages"": 0, ""oai_searchbot_blocked_sample_urls"": []}"
13,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:35:44.284433+00:00,stage_timing,classify,,10,"{""governance_summary"": {""actionable_pages"": 55, ""bingbot_blocked_pages"": 0, ""bingbot_blocked_sample_urls"": [], ""chatgpt_user_blocked_pages"": 0, ""chatgpt_user_blocked_sample_urls"": [], ""google_extended_blocked_pages"": 0, ""google_extended_blocked_sample_urls"": [], ""googlebot_blocked_pages"": 0, ""googlebot_blocked_sample_urls"": [], ""gptbot_blocked_pages"": 0, ""gptbot_blocked_sample_urls"": [], ""matrix_summary"": {""blocked_counts"": {}, ""preview_restricted_pages"": 55, ""raw_render_mismatch_pages"": 55, ""total"": 58}, ""oai_adsbot_blocked_pages"": 0, ""oai_adsbot_blocked_sample_urls"": [], ""oai_searchbot_blocked_pages"": 0, ""oai_searchbot_blocked_sample_urls"": []}, ""links"": 1598, ""pages"": 58}"
14,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:37:39.313196+00:00,stage_timing,render_diff,,115028,"{""avg_raw_text_len"": 129, ""avg_rendered_text_len"": 1159, ""classified_shell_pages"": 55, ""graph_metric_bridge_pages"": 0, ""graph_metric_communities"": 4, ""graph_metric_rows"": 58, ""render_candidates"": 55, ""render_failures"": 0, ""render_failures_count"": 0, ""render_mode"": ""all"", ""render_sessions"": 55, ""render_successes"": 55, ""render_targets"": 55}"
15,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:37:39.328809+00:00,canonical_cluster_summary,render_diff,,0,"{""canonical_alias_pages"": 55, ""canonical_clusters_multi_member"": 1, ""canonical_clusters_total"": 4}"
16,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:37:39.328836+00:00,crawl_incremental_summary,render_diff,,0,"{""discovered"": 58, ""fetched"": 58, ""not_modified"": 0, ""reparsed"": 0, ""rerendered"": 55, ""reused_from_cache"": 0}"
17,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:37:39.530483+00:00,stage_timing,update_pages,,201,"{""changed_pages"": 55, ""page_diffs"": 0, ""pages"": 58, ""snapshots"": 58}"
18,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:37:39.540580+00:00,sitemap_analysis_summary,issues_scores_performance,,0,"{""crawled_urls_not_in_sitemap"": 31, ""discovered_page_count"": 56, ""extension_coverage_by_page_type"": {""other:image"": 10}, ""missing_lastmod_urls"": 0, ""on_page_assets"": {""images"": 55, ""videos"": 0}, ""page_hreflang_pairs"": 110, ""scope_violation_samples"": [], ""sitemap_assets"": {""images"": 10, ""videos"": 0}, ""sitemap_hreflang_mismatches"": 0, ""sitemap_hreflang_pairs"": 0, ""sitemap_scope_violations"": 0, ""sitemap_url_count"": 25, ""stale_lastmod_urls"": 0, ""urls_in_sitemap_not_crawled"": 0}"
19,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:42:56.752137+00:00,provider_summary,psi,,0,"{""attempts"": 40, ""failed_http"": 35, ""http_attempts"": 91, ""no_data"": 5, ""retries"": 51, ""skipped_missing_key"": 0, ""success"": 0, ""timeouts"": 0, ""wait_seconds"": 37.56867478736665}"
20,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:42:56.752192+00:00,provider_summary,crux,,0,"{""attempts"": 40, ""failed_http"": 0, ""http_attempts"": 40, ""no_data"": 40, ""retries"": 0, ""skipped_missing_key"": 0, ""success"": 0, ""timeouts"": 0, ""wait_seconds"": 0.0}"
21,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:42:56.752410+00:00,provider_summary,gsc,,0,"{""crawled_total"": 55, ""indexed"": 0, ""not_indexed"": 0, ""property_candidates"": [""sc-domain:void-agency.com"", ""https://void-agency.com/"", ""https://www.void-agency.com/""], ""property_uri"": """", ""rows_returned"": 0, ""status"": ""skipped_disabled"", ""unknown"": 55, ""urls_requested"": 0}"
22,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:42:56.773653+00:00,stage_timing,issues_scores_performance,,317243,"{""ai_visibility_events"": 58, ""citation_events"": 58, ""index_state_rows"": 0, ""issue_provenance_both"": 179, ""issue_provenance_raw_only"": 164, ""issue_provenance_rendered_only"": 0, ""issues"": 344, ""lighthouse_rows"": 0, ""media_assets"": 55, ""performance_rows"": 0, ""performance_targets"": 20, ""render_frontier_checks"": 58, ""render_frontier_enqueued"": 30, ""render_frontier_failures"": 0, ""render_frontier_successes"": 58, ""schema_validations"": 58, ""scores"": 58, ""submission_events"": 1, ""template_clusters"": 54}"
23,3c174164-cb26-4fb2-adad-387bab3dda2b,2026-04-20T00:42:56.848711+00:00,stage_timing,export_csv,,75,"{""output_dir"": ""out_max/run-20260420T003336Z""}"
